season,abbr,name,nbaId,id,gp,min,starter,reason
1996-97,GSW,Melvin Booker,511,bookerm,21,20.3,0,no bbref salary row
1996-97,HOU,Sedale Threatt,9,threatts,21,16.0,0,no bbref salary row
1996-97,MIA,John Crotty,180,crottyj,48,13.8,0,no bbref salary row
1996-97,PHI,Adrian Caldwell,154,caldwella,45,12.7,0,no bbref salary row
1996-97,PHI,Clar. Weatherspoon,221,weatherspoonc,82,36.0,1,no bbref salary row
1996-97,SAC,Jeff Grayer,81,grayerj,25,12.7,0,no bbref salary row
1996-97,SAS,Jamie Feick,994,feickj,41,15.2,0,no bbref salary row
1996-97,SEA,Terry Cummings,187,cummingst,45,18.3,0,no bbref salary row
1996-97,TOR,Reggie Slater,1073,slaterr,26,15.6,0,no bbref salary row
1997-98,CHH,Vernon Maxwell,137,maxwellv2,42,15.1,0,no bbref salary row
1997-98,DAL,Eric Riley,35,rileye,39,13.9,0,no bbref salary row
1997-98,DEN,Harold Ellis,1677,ellish,27,12.7,0,no bbref salary row
1997-98,GSW,Clar. Weatherspoon,221,weatherspoonc2,79,29.4,1,no bbref salary row
1997-98,GSW,Gerald Madkins,1666,madkinsg,19,12.8,0,no bbref salary row
1997-98,LAC,Ike Austin,1134,austini2,78,29.2,1,no bbref salary row
1997-98,SAC,Lawrence Funderburke,1444,funderburkel,52,21.1,0,no bbref salary row
1997-98,SAC,Mark Hendrickson,971,hendricksonm,48,15.3,0,no bbref salary row
1997-98,TOR,Oliver Miller,932,millero2,64,25.4,1,no bbref salary row
1997-98,WAS,Ledell Eackles,289,eacklesl,42,13.0,0,no bbref salary row
1998-99,CHH,Eldridge Recasner,695,recasnere3,44,16.1,0,no bbref salary row
1998-99,CHI,Dickey Simpkins,54,simpkinsd,50,29.0,1,no bbref salary row
1998-99,DEN,Cory Alexander,724,alexanderc5,36,21.5,0,no bbref salary row
1998-99,HOU,Matt Maloney,1074,maloneym4,15,12.4,0,no bbref salary row
1998-99,HOU,Othella Harrington,970,harringtono5,41,22.0,0,no bbref salary row
1998-99,LAC,Darrick Martin,239,martind4,37,25.5,1,no bbref salary row
1998-99,MIA,Clar. Weatherspoon,221,weatherspoonc3,49,21.2,0,no bbref salary row
1998-99,MIN,Sam Mitchell,417,mitchells3,50,26.9,0,no bbref salary row
1998-99,MIN,Tom Hammonds,67,hammondst3,49,14.6,0,no bbref salary row
1998-99,NYK,Chris Dudley,201,dudleyc3,46,14.9,0,no bbref salary row
1998-99,SAC,Lawrence Funderburke,1444,funderburkel2,47,19.9,0,no bbref salary row
1998-99,SAC,Peja Stojakovic,978,stojakovicp2,48,21.4,0,no bbref salary row
1998-99,SAS,Jaren Jackson,1114,jacksonj5,47,18.3,0,no bbref salary row
1998-99,TOR,Alvin Williams,1541,williamsa3,50,21.0,1,no bbref salary row
1998-99,WAS,Rod Strickland,393,stricklandr3,44,37.1,1,no bbref salary row
1999-00,HOU,Moochie Norris,983,norrism,30,16.7,0,no bbref salary row
1999-00,VAN,Felipe Lopez,1732,lopezf2,65,12.0,0,no bbref salary row
2000-01,CLE,Chucky Brown,359,brownc4,26,13.1,0,no bbref salary row
2000-01,WAS,David Vanterpool,2128,vanterpoold,22,18.6,0,no bbref salary row
2001-02,ATL,Ira Newble,1956,newblei,42,30.3,1,no bbref salary row
2001-02,DEN,Mengke Bateer,2370,bateerm,27,15.1,0,no bbref salary row
2001-02,LAC,Tremaine Fowlkes,1762,fowlkest,22,15.5,0,no bbref salary row
2001-02,MIN,Robert Pack,123,packr5,16,15.9,0,no bbref salary row
